Deliverable,Ignore,Task,Assignee,Duration Override,Duration Default,Start Date,Due Date,Week Due,Notes,Status,Link Ref,Card Title
MLJ / YouTube Channel,Other Tasks,Establish YouTube Channel KPIs and Dashboard,JJ,3,,23/06/2025,26/06/2025,26,"Define key metrics (e.g., watch time, view time). Paul to consult.",Not Started,,Establish YouTube Channel KPIs and Dashboard | Not Started
MLJ / YouTube Channel,Other Tasks,Document YouTube Optimisation Strategy,Auri,3,,26/06/2025,01/07/2025,27,Define theme and strategy for new and existing content. Alex to contribute on messaging. How can we improve the Youtube Channel?,Not Started,,Document YouTube Optimisation Strategy | Not Started
MLJ / YouTube Channel,Other Tasks,Create MLJ Team Handover Document,Auri,3,,01/07/2025,04/07/2025,27,"Distribute to JJ (promo), Timo (web/video hosting), and Mike (thumbnails).",Not Started,,Create MLJ Team Handover Document | Not Started
MLJ / YouTube Channel,Other Tasks,Create Library of Thumbnails for MLJ,Mike,3,,04/07/2025,09/07/2025,28,Based on the new optimization strategy.,Not Started,,Create Library of Thumbnails for MLJ | Not Started
Lead Gen Report Campaign,Other Tasks,Write campaign outline and Ads brief,Auri,5,,23/06/2025,30/06/2025,27,Finalise strategy for the free lead generation report campaign.,Not Started,,Write campaign outline and Ads brief | Not Started
Lead Gen Report Campaign,Other Tasks,"Record video ad for ""Send us your confusing reports""",Alex,3,,30/06/2025,03/07/2025,27,Script to focus on technical jargon and the problem of confusing reports.,Not Started,,"Record video ad for ""Send us your confusing reports"" | Not Started"
Lead Gen Report Campaign,Other Tasks,Create Campaign Graphics,Mike,3,,03/07/2025,08/07/2025,28,Design visuals of confusing reports vs. a clean dashboard.,Not Started,,Create Campaign Graphics | Not Started
Lead Gen Report Campaign,Other Tasks,Develop Promotional Materials,Auri,3,,08/07/2025,11/07/2025,28,Create all assets for the 'Send us your report' campaign. Mike to provide graphics.,Not Started,,Develop Promotional Materials | Not Started
Lead Gen Report Campaign,Other Tasks,Launch Advertising Campaigns,JJ,3,,11/07/2025,16/07/2025,29,"Includes MLJ boosts, Google Ads, and Free Report Review ads.",Not Started,,Launch Advertising Campaigns | Not Started
Community Setup,Other Tasks,Assess Circle Platform Functionality,Paul,3,,23/06/2025,26/06/2025,26,Assess capabilities for hosting video and gating content.,Not Started,,Assess Circle Platform Functionality | Not Started
Community Setup,Other Tasks,Establish Community KPIs,Paul,3,,26/06/2025,01/07/2025,27,"Define metrics for success (e.g., engagement rate, drop-off rate). Paul to consult.",Not Started,,Establish Community KPIs | Not Started
Community Setup,Other Tasks,Create Community & Channel Policy,Paul,3,,01/07/2025,04/07/2025,27,"Establish rules of engagement (e.g., no self-promotion).",Not Started,,Create Community & Channel Policy | Not Started
Community Setup,Other Tasks,Define Community Member Removal Policy,Paul,3,,04/07/2025,09/07/2025,28,"Outline process and reasons for removal, considering client status and toxicity.",Not Started,,Define Community Member Removal Policy | Not Started
Community Setup,Other Tasks,Outline Community Value Proposition,Alex,3,,09/07/2025,14/07/2025,29,"Detail the value, frequency of engagement, and resources required. Paul to contribute.",Not Started,,Outline Community Value Proposition | Not Started
Community Setup,Other Tasks,Set Up Community Platform,Paul,3,,14/07/2025,17/07/2025,29,Includes creating 10 anchor posts and structuring the spaces. Thomas to support technically.,Not Started,,Set Up Community Platform | Not Started
